project_name,total_units,developer,tenure,top,district,source
ENCHANTÉ,25,Victory Land Group,Freehold,,D11,EdgeProp
FABER RESIDENCE,399,GuocoLand & Hong Leong & TID,99 yrs lease commencing from 2025,,D05,EdgeProp
GRAND DUNMAN,1008,SingHaiyi Group & CSC Land,99 yrs lease commencing from 2022,2028,D15,EdgeProp
GRANGE 1866,60,Grange 1866 Pte Ltd,Freehold,,D10,EdgeProp
HAUS ON HANDY,188,CDL,99 yrs lease commencing from 2018,,D09,EdgeProp
HILL HOUSE,72,Macly Group & Roxy Pacific & LWH Holdings,999 yrs lease commencing from 1841,2026,D09,EdgeProp
HILLHAVEN,341,Far East Organization & Sekisui House,99 yrs lease commencing from 2023,2027,D23,EdgeProp
HILLOCK GREEN,474,Soilbuild Group & UED Alpha,99 yrs lease commencing from 2022,2028,D26,EdgeProp
HYLL ON HOLLAND,319,Far East Consortium,Freehold,2025,D10,EdgeProp
INFINI AT EAST COAST,36,Global Dragon/GDL Land,Freehold,2022,D15,EdgeProp
J'DEN,368,CapitaLand Development,99 yrs lease commencing from 2023,2028,D22,EdgeProp
J@63,14,Distinct Homes Development,Freehold,2023,D15,EdgeProp
JANSEN HOUSE,22,Mequity GS Pte Ltd,999 yrs lease commencing from 1876,2026,D19,EdgeProp
JERVOIS MANSION,130,Kimen Realty & Roxy-Pacific,Freehold,,D10,EdgeProp
K SUITES,19,EG Properties,Freehold,,D15,EdgeProp
KASSIA,276,Hong Leong Holdings & CDL & TID,Freehold,,D17,EdgeProp
KI RESIDENCES AT BROOKVALE,660,Hoi Hup Realty & Sunway Developments,999 yrs lease commencing from 1885,,D21,EdgeProp
KLIMT CAIRNHILL,138,Low Keng Huat,Freehold,2027,D09,EdgeProp
KOON SENG HOUSE,17,Macly Group,Freehold,,D15,EdgeProp
KOVAN JEWEL,34,Soon Lian Realty,Freehold,,D19,EdgeProp
LAVENDER RESIDENCE,17,FLJ Property,Freehold,2024,D12,EdgeProp
LENTOR CENTRAL RESIDENCES,477,Hong Leong Holdings & GuocoLand & TID,99 yrs lease commencing from 2023,2028,D26,EdgeProp
LENTOR HILLS RESIDENCES,598,Hong Leong Holdings & GuocoLand,99 yrs lease commencing from 2022,2027,D26,EdgeProp
LENTOR MANSION,533,GuocoLand & Hong Leong Holdings,99 yrs lease commencing from 2023,2028,D26,EdgeProp
LENTOR MODERN,605,GuocoLand,99 yrs lease commencing from 2021,2026,D26,EdgeProp
LENTORIA,267,TID (Hong Leong Holdings & Mitsui Fudosan),99 yrs lease commencing from 2022,2028,D26,EdgeProp
LILYDALE,318,,,,,EdgeProp
LIV @ MB,298,Bukit Sembawang Estates,99 yrs lease commencing from 2021,2026,D15,EdgeProp
LYNDENWOODS,343,CapitaLand Development,99 yrs lease commencing from 2025,,D05,EdgeProp
M SUITES,16,FG Resource Pte Ltd,Freehold,2024,D14,EdgeProp
MEYER BLUE,226,UOL Group & Singapore Land,Freehold,2027,D15,EdgeProp
MIDTOWN BAY,219,GuocoLand,99 yrs lease commencing from 2018,,D07,EdgeProp
MIDTOWN MODERN,558,GuocoLand & Hong Leong Holdings,99 yrs lease commencing from 2019,2024,D07,EdgeProp
MOOI RESIDENCES,24,Wenul HL,Freehold,,D10,EdgeProp
MORI,137,Roxy-Pacific Holdings,Freehold,,D14,EdgeProp
NAVA GROVE,552,MCL Land & Sinarmas Land,99 yrs lease commencing from 2024,2028,D21,EdgeProp
NEU AT NOVENA,87,Roxy-Pacific & Macly Group & LWH,Freehold,,D11,EdgeProp
NORWOOD GRAND,348,CDL,99 yrs lease commencing from 2023,,D25,EdgeProp
ONE BERNAM,351,MCC Land & HY Realty,99 yrs lease commencing from 2019,,D02,EdgeProp
ONE MARINA GARDENS,937,Kingsford & MCC Singapore,99 yrs lease commencing from 2023,2028,D01,EdgeProp
ONE PEARL BANK,774,CapitaLand,99 yrs lease commencing from 2019,2024,D03,EdgeProp
ORCHARD SOPHIA,78,DB2Land,Freehold,2027,D09,EdgeProp
PARK NOVA,54,Shun Tak Holdings,Freehold,,D10,EdgeProp
PARKTOWN RESIDENCE,1193,UOL Group & CapitaLand & Singapore Land,99 yrs lease commencing from 2023,2028,D18,EdgeProp
PARKWOOD RESIDENCES,18,Oxley Holdings,99 yrs lease commencing from 2018,,D19,EdgeProp
PARQ BELLA,20,Kims Land,Freehold,,D15,EdgeProp
PASIR RIS 8,487,Allgreen Properties & Kerry Properties,99 yrs lease commencing from 2021,2024,D18,EdgeProp
PEAK RESIDENCE,90,Tuan Sing Holdings,Freehold,,D11,EdgeProp
PENRITH,462,Allgreen Properties,99 yrs lease commencing from 2024,,D03,EdgeProp
PENROSE,566,CDL & Hong Leong Holdings,99 yrs lease commencing from 2019,,D14,EdgeProp
PERFECT TEN,230,CK Asset Holdings,Freehold,,D10,EdgeProp
PHOENIX RESIDENCES,74,OKP Holdings,99 yrs lease commencing from 2019,,D23,EdgeProp
PICCADILLY GRAND,407,CDL & MCL Land,99 yrs lease commencing from 2021,2026,D08,EdgeProp
PINETREE HILL,520,UOL Group & SingLand,99 yrs lease commencing from 2022,2027,D21,EdgeProp
PROMENADE PEAK,596,Allgreen Properties,99 yrs lease commencing from 2024,,D03,EdgeProp
PULLMAN RESIDENCES NEWTON,340,EL Development,Freehold,,D11,EdgeProp
RIVER GREEN,524,Wing Tai Holdings,99 yrs lease commencing from 2024,2028,D09,EdgeProp
ROYAL HALLMARK,32,H Homes Pte Ltd,Freehold,2025,D15,EdgeProp
SANCTUARY@NEWTON,38,ASK Development,Freehold,,D11,EdgeProp
SCENECA RESIDENCE,268,MCC Singapore & Gamuda Berhad,99 yrs lease commencing from 2021,2027,D16,EdgeProp
SENGKANG GRAND RESIDENCES,680,CapitaLand & CDL,99 yrs lease commencing from 2018,2024,D19,EdgeProp
SKY EDEN@BEDOK,158,Chempaka Development,99 yrs lease commencing from 2022,2026,D16,EdgeProp
SKYE AT HOLLAND,666,UOL Group & CapitaLand,99 yrs lease commencing from 2024,,D10,EdgeProp
SORA,440,Chip Eng Seng & SingHaiyi,99 yrs lease commencing from 2023,2028,D22,EdgeProp
SPRINGLEAF RESIDENCE,941,GuocoLand & Hong Leong Holdings,99 yrs lease commencing from 2024,2028,D26,EdgeProp
STRAITS AT JOO CHIAT,16,Roxy-Pacific Holdings,Freehold,,D15,EdgeProp
TEMBUSU GRAND,638,CDL & MCL Land,99 yrs lease commencing from 2022,2027,D15,EdgeProp
TERRA HILL,270,Hoi Hup Realty & Sunway Developments,Freehold,2028,D05,EdgeProp
THE ARCADY AT BOON KENG,172,KSH Holdings & SLB & Ho Lee Group,Freehold,2027,D12,EdgeProp
THE ARDEN,105,CNQC Realty,99 yrs lease commencing from 2023,2025,D23,EdgeProp
THE ATELIER,120,Bukit Sembawang,Freehold,,D09,EdgeProp
THE AVENIR,376,GuocoLand & Hong Leong Holdings,Freehold,,D09,EdgeProp
THE BOTANY AT DAIRY FARM,386,Sim Lian Development,99 yrs lease commencing from 2022,2028,D23,EdgeProp
THE COLLECTIVE AT ONE SOPHIA,367,SingHaiyi & Chip Eng Seng,99 yrs lease commencing from 2023,,D09,EdgeProp
THE COMMODORE,219,JBE Holdings,99 yrs lease commencing from 2020,2025,D27,EdgeProp
THE CONTINUUM,816,Hoi Hup Realty & Sunway Developments,Freehold,2027,D15,EdgeProp
THE HILL @ONE-NORTH,142,Kingsford Development,99 years lease commencing from 2022,,D05,EdgeProp
THE HILLSHORE,59,FRX Capital & Tong Eng Group,Freehold,,D05,EdgeProp
THE LAKEGARDEN RESIDENCES,306,Wing Tai Holdings,99 yrs lease commencing from 2023,2027,D22,EdgeProp
THE LANDMARK,396,ZACD Group & SSLE & MCC Singapore,99 yrs lease commencing from 2020,2025,D03,EdgeProp
THE LILIUM,80,SingHaiyi Group,Freehold,,D19,EdgeProp
THE LINQ @ BEAUTY WORLD,120,BBR Holdings,Freehold,2025,D21,EdgeProp
THE MYST,408,CDL,99 yrs lease commencing from 2023,2027,D23,EdgeProp
THE ORIE,777,CDL & Frasers Property & Sekisui House,99 yrs lease commencing from 2024,2028,D12,EdgeProp
THE REEF AT KING'S DOCK,429,Mapletree & Keppel Land,99 yrs lease commencing from 2021,2025,D04,EdgeProp
THE RESERVE RESIDENCES,732,Far East Organization & Sino Group,99 yrs lease commencing from 2021,2028,D21,EdgeProp
THE ROBERTSON OPUS,348,Frasers Property & Sekisui House,999 yrs lease commencing from 1841,2028,D09,EdgeProp
THE SEN,347,Sustained Land,99 years leasehold,,D21,EdgeProp
THE SHOREFRONT,23,165@Loyang Pte Ltd,999 yrs lease commencing from 1937,2026,D17,EdgeProp
THE WATERGARDENS AT CANBERRA,448,UOL Group & Singapore Land & Kheng Leong,99 yrs lease commencing from 2020,2024,D27,EdgeProp
TMW MAXWELL,324,Chip Eng Seng,99 yrs lease commencing from 2023,2027,D02,EdgeProp
TOMLINSON HEIGHTS,70,,,,,EdgeProp
UNION SQUARE RESIDENCES,366,CDL,99 yrs lease commencing from 2024,2028,D01,EdgeProp
UPPERHOUSE AT ORCHARD BOULEVARD,301,UOL Group & Singapore Land,99 yrs lease commencing from 2024,,D10,EdgeProp
VAN HOLLAND,69,Koh Brothers Development,Freehold,,D10,EdgeProp
VIEW AT KISMIS,186,Roxy-Pacific & Tong Eng Group,99 yrs lease commencing from 2019,2024,D21,EdgeProp
W RESIDENCES MARINA VIEW - SINGAPORE,683,IOI Properties,99 yrs lease commencing from 2021,,D01,EdgeProp
WATTEN HOUSE,180,UOL Group & SingLand,Freehold,2027,D11,EdgeProp
WILSHIRE RESIDENCES,85,Tong Eng Group & Roxy-Pacific & Kim Seng,Freehold,,D10,EdgeProp
ZYANYA,34,NNB 8 Development,Freehold,,D14,EdgeProp
ZYON GRAND,706,CDL & Mitsui Fudosan,99 yrs lease commencing from 2024,,D03,EdgeProp
